tool,rule_id,severity,file,line,column,message,label,fix_cost,annotator_note
pylint,no-else-raise,low,target/requests/src/requests/adapters.py,709,12,"Unnecessary ""elif"" after ""raise"", remove the leading ""el"" from ""elif""",UNK,,需人工复核
pylint,wrong-import-order,low,target/requests/src/requests/__init__.py,148,,"standard import ""logging"" should be placed before third party imports ""urllib3"", ""urllib3.exceptions.DependencyWarning"" and local import ""exceptions.RequestsDependencyWarning""",FP,,import 顺序
pylint,missing-function-docstring,low,target/requests/src/requests/cookies.py,46,4,Missing function or method docstring,FP,,文档风格非功能缺陷
pylint,wrong-import-position,low,target/requests/src/requests/compat.py,64,,"Import ""from io import StringIO"" should be placed at the top of the module",FP,,import 顺序
pylint,invalid-name,low,target/requests/src/requests/compat.py,50,4,"Constant name ""has_simplejson"" doesn't conform to UPPER_CASE naming style",FP,,命名风格
pylint,line-too-long,low,target/requests/src/requests/api.py,36,,Line too long (136/100),FP,,纯风格问题
pylint,too-many-positional-arguments,low,target/requests/src/requests/adapters.py,613,4,Too many positional arguments (7/5),UNK,,需人工复核
pylint,import-outside-toplevel,low,target/requests/src/requests/utils.py,214,8,"Import outside toplevel (netrc.NetrcParseError, netrc.netrc)",UNK,,需人工复核
pylint,too-many-arguments,low,target/requests/src/requests/adapters.py,143,4,Too many arguments (7/5),FP,,复杂度启发式
pylint,invalid-name,low,target/requests/src/requests/utils.py,953,,"Constant name ""_null2"" doesn't conform to UPPER_CASE naming style",FP,,命名风格
pylint,too-many-instance-attributes,low,target/requests/src/requests/models.py,640,,Too many instance attributes (13/7),UNK,,需人工复核
pylint,wrong-import-order,low,target/requests/src/requests/__init__.py,149,,"standard import ""logging.NullHandler"" should be placed before third party imports ""urllib3"", ""urllib3.exceptions.DependencyWarning"" and local import ""exceptions.RequestsDependencyWarning""",FP,,import 顺序
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,148,,"Import ""import logging"" should be placed at the top of the module",FP,,import 顺序
pylint,too-many-positional-arguments,low,target/requests/src/requests/adapters.py,143,4,Too many positional arguments (7/5),UNK,,需人工复核
pylint,invalid-name,low,target/requests/src/requests/auth.py,207,12,"Variable name ""HA1"" doesn't conform to snake_case naming style",FP,,命名风格
pylint,wrong-import-position,low,target/requests/src/requests/compat.py,61,,"Import ""from collections.abc import Callable, Mapping, MutableMapping"" should be placed at the top of the module",FP,,import 顺序
pylint,import-outside-toplevel,low,target/requests/src/requests/utils.py,78,12,Import outside toplevel (winreg),UNK,,需人工复核
pylint,fixme,medium,target/requests/src/requests/hooks.py,19,1,TODO: response is the only one,UNK,,需人工复核
pylint,redefined-outer-name,medium,target/requests/src/requests/__init__.py,93,24,Redefining name 'cryptography_version' from outer scope (line 136),FP,,测试/版本检测上下文常见
pylint,protected-access,medium,target/requests/src/requests/cookies.py,136,23,Access to a protected member _original_response of a client class,UNK,,需结合 API 设计判断
pylint,missing-timeout,medium,target/requests/src/requests/api.py,73,11,Missing timeout argument for method 'request' can cause your program to hang indefinitely,UNK,,需人工复核
pylint,raise-missing-from,medium,target/requests/src/requests/models.py,828,20,Consider explicitly re-raising using 'raise RequestsSSLError(e) from e',TP,low,异常链缺失影响调试
