tool,rule_id,severity,file,line,column,message
pylint,missing-function-docstring,low,target/requests/src/requests/__init__.py,58,,Missing function or method docstring
pylint,redefined-outer-name,medium,target/requests/src/requests/__init__.py,58,41,Redefining name 'chardet_version' from outer scope (line 53)
pylint,redefined-outer-name,medium,target/requests/src/requests/__init__.py,58,58,Redefining name 'charset_normalizer_version' from outer scope (line 48)
pylint,redefined-outer-name,medium,target/requests/src/requests/__init__.py,67,18,Redefining name 'patch' from outer scope (line 164)
pylint,redefined-outer-name,medium,target/requests/src/requests/__init__.py,93,24,Redefining name 'cryptography_version' from outer scope (line 136)
pylint,consider-using-f-string,low,target/requests/src/requests/__init__.py,101,18,Formatting a regular string which could be an f-string
pylint,consider-using-f-string,low,target/requests/src/requests/__init__.py,114,8,Formatting a regular string which could be an f-string
pylint,ungrouped-imports,low,target/requests/src/requests/__init__.py,143,,Imports from package urllib3 are not grouped
pylint,wrong-import-order,low,target/requests/src/requests/__init__.py,143,,"third party import ""urllib3.exceptions.DependencyWarning"" should be placed before local import ""exceptions.RequestsDependencyWarning"""
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,143,,"Import ""from urllib3.exceptions import DependencyWarning"" should be placed at the top of the module"
pylint,wrong-import-order,low,target/requests/src/requests/__init__.py,148,,"standard import ""logging"" should be placed before third party imports ""urllib3"", ""urllib3.exceptions.DependencyWarning"" and local import ""exceptions.RequestsDependencyWarning"""
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,148,,"Import ""import logging"" should be placed at the top of the module"
pylint,wrong-import-order,low,target/requests/src/requests/__init__.py,149,,"standard import ""logging.NullHandler"" should be placed before third party imports ""urllib3"", ""urllib3.exceptions.DependencyWarning"" and local import ""exceptions.RequestsDependencyWarning"""
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,149,,"Import ""from logging import NullHandler"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,151,,"Import ""from . import packages, utils"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,152,,"Import ""from .__version__ import __author__, __author_email__, __build__, __cake__, __copyright__, __description__, __license__, __title__, __url__, __version__"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,164,,"Import ""from .api import delete, get, head, options, patch, post, put, request"" should be placed at the top of the module"
pylint,redefined-builtin,medium,target/requests/src/requests/__init__.py,165,,Redefining built-in 'ConnectionError'
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,165,,"Import ""from .exceptions import ConnectionError, ConnectTimeout, FileModeWarning, HTTPError, JSONDecodeError, ReadTimeout, RequestException, Timeout, TooManyRedirects, URLRequired"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,177,,"Import ""from .models import PreparedRequest, Request, Response"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,178,,"Import ""from .sessions import Session, session"" should be placed at the top of the module"
pylint,wrong-import-position,low,target/requests/src/requests/__init__.py,179,,"Import ""from .status_codes import codes"" should be placed at the top of the module"
pylint,duplicate-code,low,target/requests/src/requests/__version__.py,1,,"Similar lines in 2 files ==requests.adapters:[642:647] ==requests.sessions:[266:271]             stream=stream,             timeout=timeout,             verify=verify,             cert=cert,             proxies=proxies,"
pylint,missing-module-docstring,low,target/requests/src/requests/__version__.py,1,,Missing module docstring
pylint,unused-import,medium,target/requests/src/requests/adapters.py,10,,Unused import socket
pylint,redefined-builtin,medium,target/requests/src/requests/adapters.py,35,,Redefining built-in 'ConnectionError'
pylint,invalid-name,low,target/requests/src/requests/adapters.py,63,4,"Function name ""SOCKSProxyManager"" doesn't conform to snake_case naming style"
pylint,missing-function-docstring,low,target/requests/src/requests/adapters.py,63,4,Missing function or method docstring
pylint,unused-import,medium,target/requests/src/requests/adapters.py,78,4,Unused import ssl
pylint,invalid-name,low,target/requests/src/requests/adapters.py,87,4,"Constant name ""_preloaded_ssl_context"" doesn't conform to UPPER_CASE naming style"
pylint,useless-parent-delegation,medium,target/requests/src/requests/adapters.py,140,4,Useless parent or super() delegation in method '__init__'
pylint,too-many-arguments,low,target/requests/src/requests/adapters.py,143,4,Too many arguments (7/5)
